date,item_name,category,quantity,unit,selling_price_per_unit,total_amount,transaction_type
2026-07-21 08:42:00,Cattle Feed SuperMash 50kg,dairy,3,bag,1398,4194,sales
2026-07-21 10:47:00,Amul Butter 500g,dairy,3,pack,275,825,sales
2026-07-21 10:55:00,Cattle Feed SuperMash 50kg,dairy,1,bag,1401,1401,sales
2026-07-22 12:01:00,Fresh Curd / Dahi 500g,dairy,25,tub,42,1050,sales
2026-07-23 03:01:00,Desi Cow Ghee 1L,dairy,5,jar,649,3245,sales
2026-07-23 06:37:00,Amul Butter 500g,dairy,4,pack,276,1104,sales
2026-07-24 05:04:00,Desi Cow Ghee 1L,dairy,2,jar,651,1302,sales
2026-07-24 13:02:00,Fresh Curd / Dahi 500g,dairy,7,tub,38,266,sales
2026-07-25 05:57:00,Malai Paneer Fresh,dairy,18,kg,310,5580,purchase
2026-07-25 06:25:00,Khoya / Mawa Fresh,dairy,5,kg,322,1610,sales
2026-07-25 12:44:00,Pure Cow Milk,dairy,31,litre,54,1674,sales
2026-07-26 06:17:00,Fresh Buffalo Milk,dairy,57,litre,71,4047,sales
2026-07-26 12:19:00,Pure Cow Milk,dairy,49,litre,55,2695,sales
2026-07-26 15:17:00,Pure Cow Milk,dairy,62,litre,53,3286,sales
2026-07-27 11:54:00,Desi Cow Ghee 1L,dairy,3,jar,649,1947,sales
2026-07-28 09:27:00,Pure Cow Milk,dairy,39,litre,55,2145,sales
2026-07-29 09:24:00,Cattle Feed SuperMash 50kg,dairy,2,bag,1400,2800,sales
2026-07-29 09:46:00,Cattle Feed SuperMash 50kg,dairy,18,bag,1250,22500,purchase
2026-07-29 15:12:00,Malai Paneer Fresh,dairy,9,kg,370,3330,sales
2026-07-30 10:38:00,Amul Butter 500g,dairy,4,pack,274,1096,sales
2026-07-30 10:53:00,Fresh Curd / Dahi 500g,dairy,18,tub,42,756,sales
2026-07-30 13:36:00,Desi Cow Ghee 1L,dairy,5,jar,653,3265,sales
2026-07-31 11:09:00,Malai Paneer Fresh,dairy,8,kg,310,2480,purchase
2026-08-01 05:41:00,Fresh Buffalo Milk,dairy,53,litre,66,3498,sales
2026-08-01 07:02:00,Fresh Curd / Dahi 500g,dairy,13,tub,41,533,sales
2026-08-01 09:00:00,Malai Paneer Fresh,dairy,4,kg,368,1472,sales
2026-08-01 09:32:00,Amul Butter 500g,dairy,6,pack,276,1656,sales
2026-08-02 06:39:00,Pure Cow Milk,dairy,48,litre,50,2400,sales
2026-08-02 12:03:00,Khoya / Mawa Fresh,dairy,6,kg,319,1914,sales
2026-08-02 12:21:00,Fresh Buffalo Milk,dairy,57,litre,70,3990,sales
2026-08-03 06:32:00,Cattle Feed SuperMash 50kg,dairy,3,bag,1398,4194,sales
