date,item_name,category,quantity,unit,selling_price_per_unit,total_amount,transaction_type
2026-07-21 05:59:00,Kids Denim Shorts,textile,6,piece,322,1932,sales
2026-07-21 08:38:00,Kids Denim Shorts,textile,28,piece,210,5880,purchase
2026-07-22 03:32:00,Pure Cotton Printed Saree,textile,16,piece,420,6720,purchase
2026-07-23 09:28:00,Cotton Bed Sheet Double,textile,12,set,390,4680,purchase
2026-07-23 11:41:00,Kids Denim Shorts,textile,5,piece,319,1595,sales
2026-07-24 11:15:00,Formal Cotton Shirt,textile,20,piece,360,7200,purchase
2026-07-24 13:58:00,Silk Jacquard Fabric,textile,19,metre,262,4978,sales
2026-07-24 14:49:00,Kids Denim Shorts,textile,6,piece,322,1932,sales
2026-07-25 09:37:00,Women Rayon Kurti,textile,8,piece,418,3344,sales
2026-07-25 15:29:00,Women Rayon Kurti,textile,7,piece,421,2947,sales
2026-07-26 09:45:00,Formal Cotton Shirt,textile,6,piece,523,3138,sales
2026-07-26 11:12:00,Kids Denim Shorts,textile,3,piece,320,960,sales
2026-07-26 15:03:00,Men Stretch Denim Jeans,textile,12,piece,550,6600,purchase
2026-07-27 05:17:00,Kids Denim Shorts,textile,2,piece,318,636,sales
2026-07-27 07:36:00,Kids Denim Shorts,textile,2,piece,321,642,sales
2026-07-27 13:26:00,Women Rayon Kurti,textile,4,piece,420,1680,sales
2026-07-27 13:39:00,Men Stretch Denim Jeans,textile,3,piece,780,2340,sales
2026-07-27 13:40:00,Cotton Bed Sheet Double,textile,3,set,561,1683,sales
2026-07-29 05:12:00,Silk Jacquard Fabric,textile,17,metre,261,4437,sales
2026-07-29 05:48:00,Cotton Bed Sheet Double,textile,2,set,558,1116,sales
2026-07-29 12:26:00,Pure Cotton Printed Saree,textile,2,piece,581,1162,sales
2026-07-30 04:22:00,Polyester Lining Fabric,textile,76,metre,38,2888,purchase
2026-07-30 04:43:00,Formal Cotton Shirt,textile,49,piece,360,17640,purchase
2026-07-30 13:34:00,Kids Denim Shorts,textile,3,piece,320,960,sales
2026-07-31 11:03:00,Women Rayon Kurti,textile,5,piece,420,2100,sales
2026-07-31 14:28:00,Formal Cotton Shirt,textile,6,piece,519,3114,sales
2026-08-01 06:50:00,Cotton Bed Sheet Double,textile,3,set,561,1683,sales
2026-08-01 07:28:00,Pure Cotton Printed Saree,textile,4,piece,578,2312,sales
2026-08-01 09:11:00,Polyester Lining Fabric,textile,12,metre,54,648,sales
2026-08-01 11:09:00,Men Stretch Denim Jeans,textile,2,piece,781,1562,sales
2026-08-01 14:42:00,Men Stretch Denim Jeans,textile,4,piece,781,3124,sales
2026-08-01 15:18:00,Cotton Bed Sheet Double,textile,2,set,562,1124,sales
2026-08-02 07:34:00,Formal Cotton Shirt,textile,6,piece,519,3114,sales
2026-08-02 10:55:00,Polyester Lining Fabric,textile,15,metre,54,810,sales
2026-08-02 12:53:00,Silk Jacquard Fabric,textile,12,metre,261,3132,sales
2026-08-02 13:07:00,Polyester Lining Fabric,textile,156,metre,38,5928,purchase
2026-08-02 13:40:00,Cotton Bed Sheet Double,textile,3,set,562,1686,sales
2026-08-02 15:07:00,Men Stretch Denim Jeans,textile,4,piece,779,3116,sales
2026-08-03 11:29:00,Pure Cotton Printed Saree,textile,28,piece,420,11760,purchase
2026-08-03 12:53:00,Formal Cotton Shirt,textile,5,piece,519,2595,sales
2026-08-04 12:37:00,Kids Denim Shorts,textile,4,piece,321,1284,sales
2026-08-05 04:30:00,Formal Cotton Shirt,textile,2,piece,523,1046,sales
2026-08-05 11:48:00,Men Stretch Denim Jeans,textile,7,piece,781,5467,sales
2026-08-05 12:47:00,Cotton Bed Sheet Double,textile,18,set,390,7020,purchase
2026-08-05 15:42:00,Silk Jacquard Fabric,textile,33,metre,180,5940,purchase
